ID,Timezone,DST Diff,DST Rule,OS Time Zone,Name
30542,11,1,0,Pacific/Ponape,PONAPE
30543,10,1,0,Pacific/Port_Moresby,PORT MORESBY
30544,-10,1,0,Pacific/Rarotonga,RAROTONGA
30545,10,1,0,Pacific/Saipan,SAIPAN
30546,13,1,0,Pacific/Samoa,SAMOA
30547,-10,1,0,Pacific/Tahiti,TAHITI
30548,12,1,0,Pacific/Tarawa,TARAWA
30549,13,1,0,Pacific/Tongatapu,TONGATAPU
30550,10,1,0,Pacific/Truk,TRUK
30551,12,1,0,Pacific/Wake,WAKE
30552,12,1,0,Pacific/Wallis,WALLIS
30553,10,1,0,Pacific/Yap,YAP
30554,1,1,2,Poland,POLAND
30555,0,1,2,Portugal,PORTUGAL
30556,8,1,0,ROC,ROC
30557,9,1,0,ROK,ROK
30558,8,1,0,Singapore,SINGAPORE
30559,3,1,0,Turkey,TURKEY
30560,0,0,0,UCT,UCT
30561,-9,1,1,US/Alaska,ALASKA
30562,-10,1,1,US/Aleutian,ALEUTIAN
30563,-7,1,0,US/Arizona,ARIZONA
30564,-6,1,1,US/Central,CENTRAL
30565,-5,1,1,US/East-Indiana,EAST-INDIANA
30566,-5,1,1,US/Eastern,EASTERN
30567,-10,1,0,US/Hawaii,HAWAII
30568,-6,1,1,US/Indiana-Starke,INDIANA-STARKE
30569,-5,1,1,US/Michigan,MICHIGAN
30570,-7,1,1,US/Mountain,MOUNTAIN
30571,-8,1,1,US/Pacific,PACIFIC
30572,-11,1,0,US/Samoa,SAMOA
30573,0,0,0,UTC,UTC
30574,0,0,0,Universal,UNIVERSAL
30575,3,1,0,W-SU,W-SU
30576,0,1,2,WET,WET
30577,0,0,0,Zulu,ZULU
30578,9,1,0,Asia/Chita,CHITA
30579,11,1,0,Asia/Srednekolymsk,SREDNEKOLYMSK
30580,11,1,0,Pacific/Bougainville,BOUGAINVILLE
30581,7,1,0,Asia/Hanoi,HANOI
30582,-7,1,0,America/Fort_Nelson,FORT NELSON
30583,7,1,0,Asia/Barnaul,BARNAUL
30584,7,1,0,Asia/Tomsk,TOMSK
30585,6.5,1,0,Asia/Yangon,YANGON
30586,4,1,0,Europe/Astrakhan,ASTRAKHAN
30587,3,1,0,Europe/Kirov,KIROV
30588,4,1,0,Europe/Ulyanovsk,ULYANOVSK
30589,-3,1,0,America/Punta_Arenas,PUNTA ARENAS
30590,5,1,0,Asia/Atyrau,ATYRAU
30591,2,1,3,Asia/Famagusta,FAMAGUSTA
30592,4,1,0,Europe/Saratov,SARATOV
30593,-2,1,31,America/Nuuk,NUUK
30594,5,1,0,Asia/Qostanay,QOSTANAY
30595,13,1,0,Pacific/Kanton,KANTON
30596,2,1,2,Europe/Kyiv,KYIV
